-5,-4.22E-10,-1.40E-10,-2.19E-10,-2.21E-10,-3.40E-10
-4.95,-4.10E-10,-1.32E-10,-2.21E-10,-2.17E-10,-3.30E-10
-4.9,-3.79E-10,-1.39E-10,-2.17E-10,-2.08E-10,-3.32E-10
-4.85,-3.83E-10,-1.30E-10,-2.18E-10,-2.01E-10,-3.33E-10
-4.8,-3.59E-10,-1.37E-10,-2.16E-10,-1.96E-10,-3.25E-10
-4.75,-3.40E-10,-1.29E-10,-2.18E-10,-1.91E-10,-3.33E-10
-4.7,-3.50E-10,-1.32E-10,-2.14E-10,-1.86E-10,-3.26E-10
-4.65,-3.33E-10,-1.28E-10,-2.17E-10,-1.81E-10,-3.26E-10
-4.6,-3.27E-10,-1.28E-10,-2.13E-10,-1.76E-10,-3.29E-10
-4.55,-3.12E-10,-1.33E-10,-2.15E-10,-1.73E-10,-3.23E-10
-4.5,-3.06E-10,-1.26E-10,-2.14E-10,-1.68E-10,-3.30E-10
-4.45,-2.98E-10,-1.33E-10,-2.16E-10,-1.64E-10,-3.23E-10
-4.4,-2.81E-10,-1.25E-10,-2.13E-10,-1.61E-10,-3.25E-10
-4.35,-2.83E-10,-1.29E-10,-2.15E-10,-1.57E-10,-3.25E-10
-4.3,-2.74E-10,-1.25E-10,-2.12E-10,-1.53E-10,-3.21E-10
-4.25,-2.73E-10,-1.26E-10,-2.15E-10,-1.57E-10,-3.25E-10
-4.2,-2.66E-10,-1.31E-10,-2.11E-10,-1.45E-10,-3.19E-10
-4.15,-2.67E-10,-1.22E-10,-2.14E-10,-1.50E-10,-3.27E-10
-4.1,-2.59E-10,-1.31E-10,-2.11E-10,-1.39E-10,-3.20E-10
-4.05,-2.61E-10,-1.23E-10,-2.13E-10,-1.43E-10,-3.21E-10
-4,-2.54E-10,-1.26E-10,-2.11E-10,-1.37E-10,-3.23E-10
-3.95,-2.56E-10,-1.24E-10,-2.13E-10,-1.36E-10,-3.18E-10
-3.9,-2.52E-10,-1.23E-10,-2.10E-10,-1.38E-10,-3.22E-10
-3.85,-2.53E-10,-1.29E-10,-2.13E-10,-1.28E-10,-3.17E-10
-3.8,-2.47E-10,-1.20E-10,-2.10E-10,-1.35E-10,-3.22E-10
-3.75,-2.49E-10,-1.29E-10,-2.13E-10,-1.25E-10,-3.16E-10
-3.7,-2.44E-10,-1.21E-10,-2.09E-10,-1.28E-10,-3.24E-10
-3.65,-2.45E-10,-1.25E-10,-2.12E-10,-1.23E-10,-3.17E-10
-3.6,-2.40E-10,-1.22E-10,-2.10E-10,-1.22E-10,-3.19E-10
-3.55,-2.43E-10,-1.22E-10,-2.12E-10,-1.25E-10,-3.20E-10
-3.5,-2.37E-10,-1.27E-10,-2.10E-10,-1.15E-10,-3.16E-10
-3.45,-2.40E-10,-1.19E-10,-2.12E-10,-1.22E-10,-3.21E-10
-3.4,-2.37E-10,-1.28E-10,-2.09E-10,-1.14E-10,-3.15E-10
-3.35,-2.38E-10,-1.20E-10,-2.12E-10,-1.16E-10,-3.23E-10
-3.3,-2.35E-10,-1.24E-10,-2.09E-10,-1.12E-10,-3.16E-10
-3.25,-2.38E-10,-1.21E-10,-2.11E-10,-1.12E-10,-3.18E-10
-3.2,-2.33E-10,-1.22E-10,-2.09E-10,-1.16E-10,-3.19E-10
-3.15,-2.35E-10,-1.26E-10,-2.11E-10,-1.06E-10,-3.15E-10
-3.1,-2.33E-10,-1.18E-10,-2.09E-10,-1.14E-10,-3.20E-10
-3.05,-2.34E-10,-1.27E-10,-2.12E-10,-1.06E-10,-3.14E-10
-3,-2.32E-10,-1.20E-10,-2.09E-10,-1.08E-10,-3.20E-10
-2.95,-2.34E-10,-1.22E-10,-2.12E-10,-1.10E-10,-3.14E-10
-2.9,-2.31E-10,-1.20E-10,-2.08E-10,-1.02E-10,-3.22E-10
-2.85,-2.34E-10,-1.20E-10,-2.11E-10,-1.10E-10,-3.15E-10
-2.8,-2.30E-10,-1.26E-10,-2.09E-10,-1.01E-10,-3.17E-10
-2.75,-2.33E-10,-1.17E-10,-2.11E-10,-1.05E-10,-3.18E-10
-2.7,-2.29E-10,-1.26E-10,-2.09E-10,-1.02E-10,-3.14E-10
-2.65,-2.32E-10,-1.18E-10,-2.11E-10,-1.02E-10,-3.19E-10
-2.6,-2.30E-10,-1.22E-10,-2.09E-10,-1.06E-10,-3.12E-10
-2.55,-2.32E-10,-1.19E-10,-2.12E-10,-9.76E-11,-3.20E-10
-2.5,-2.29E-10,-1.19E-10,-2.09E-10,-1.06E-10,-3.14E-10
-2.45,-2.32E-10,-1.24E-10,-2.11E-10,-9.82E-11,-3.14E-10
-2.4,-2.28E-10,-1.16E-10,-2.09E-10,-1.01E-10,-3.16E-10
-2.35,-2.31E-10,-1.25E-10,-2.11E-10,-1.03E-10,-3.11E-10
-2.3,-2.29E-10,-1.17E-10,-2.09E-10,-9.53E-11,-3.15E-10
-2.25,-2.31E-10,-1.21E-10,-2.12E-10,-1.03E-10,-3.09E-10
-2.2,-2.29E-10,-1.17E-10,-2.09E-10,-9.46E-11,-3.17E-10
-2.15,-2.32E-10,-1.18E-10,-2.12E-10,-9.90E-11,-3.09E-10
-2.1,-2.28E-10,-1.23E-10,-2.09E-10,-9.49E-11,-3.11E-10
-2.05,-2.32E-10,-1.14E-10,-2.11E-10,-9.62E-11,-3.11E-10
-2,-2.28E-10,-1.23E-10,-2.09E-10,-9.96E-11,-3.07E-10
-1.95,-2.31E-10,-1.15E-10,-2.11E-10,-9.16E-11,-3.10E-10
