-1.75,-4.86E-11,-1.24E-11,-7.28E-11,-0.000120522,,,,,,,
-1.7,-4.14E-11,-1.99E-11,-6.51E-11,-0.000114128,,,,,,,
-1.65,-4.88E-11,-1.16E-11,-7.28E-11,-0.000107909,,,,,,,
-1.6,-4.24E-11,-1.93E-11,-6.58E-11,-0.000101837,,,,,,,
-1.55,-4.43E-11,-1.10E-11,-6.88E-11,-9.61E-05,,,,,,,
-1.5,-4.75E-11,-1.88E-11,-7.06E-11,-9.03E-05,,,,,,,
-1.45,-4.02E-11,-1.06E-11,-6.42E-11,-8.52E-05,,,,,,,
-1.4,-4.79E-11,-1.85E-11,-7.20E-11,-8.00E-05,,,,,,,
-1.35,-4.06E-11,-1.02E-11,-6.56E-11,-7.52E-05,,,,,,,
-1.3,-4.83E-11,-1.81E-11,-6.76E-11,-7.04E-05,,,,,,,
-1.25,-4.19E-11,-1.01E-11,-7.06E-11,-6.49E-05,,,,,,,
-1.2,-4.41E-11,-1.81E-11,-6.35E-11,-5.93E-05,,,,,,,
-1.15,-4.72E-11,-1.09E-11,-7.12E-11,-5.40E-05,,,,,,,
-1.1,-3.97E-11,-1.82E-11,-6.36E-11,-4.95E-05,,,,,,,
-1.05,-4.78E-11,-9.64E-12,-7.16E-11,-4.58E-05,,,,,,,
-1,-4.03E-11,-1.76E-11,-6.37E-11,-4.22E-05,,,,,,,
-0.95,-4.71E-11,-9.60E-12,-7.07E-11,-3.87E-05,,,,,,,
-0.9,-3.97E-11,-1.76E-11,-6.39E-11,-3.55E-05,,,,,,,
-0.85,-4.66E-11,-9.46E-12,-6.94E-11,-3.23E-05,,,,,,,
-0.8,-4.00E-11,-1.73E-11,-6.27E-11,-2.93E-05,,,,,,,
-0.75,-4.69E-11,-9.40E-12,-7.10E-11,-2.64E-05,,,,,,,
-0.7,-3.99E-11,-1.73E-11,-6.24E-11,-2.37E-05,,,,,,,
-0.65,-4.67E-11,-9.25E-12,-7.07E-11,-2.13E-05,,,,,,,
-0.6,-3.97E-11,-1.72E-11,-6.38E-11,-1.89E-05,,,,,,,
