-5,-5.32E-10,-2.37E-06
-4.95,-5.00E-10,-2.32E-06
-4.9,-4.77E-10,-2.26E-06
-4.85,-4.43E-10,-2.21E-06
-4.8,-4.13E-10,-2.15E-06
-4.75,-3.97E-10,-2.10E-06
-4.7,-3.68E-10,-1.99E-06
-4.65,-3.53E-10,-1.96E-06
-4.6,-3.25E-10,-1.93E-06
-4.55,-3.10E-10,-1.86E-06
-4.5,-2.92E-10,-1.81E-06
-4.45,-2.68E-10,-1.78E-06
-4.4,-2.57E-10,-1.72E-06
-4.35,-2.37E-10,-1.66E-06
-4.3,-2.27E-10,-1.59E-06
-4.25,-2.11E-10,-1.55E-06
-4.2,-2.02E-10,-1.51E-06
-4.15,-1.86E-10,-1.47E-06
-4.1,-1.75E-10,-1.41E-06
-4.05,-1.63E-10,-1.39E-06
-4,-1.55E-10,-1.36E-06
-3.95,-1.45E-10,-1.32E-06
-3.9,-1.36E-10,-1.28E-06
-3.85,-1.25E-10,-1.26E-06
-3.8,-1.18E-10,-1.22E-06
-3.75,-1.10E-10,-1.18E-06
-3.7,-1.02E-10,-1.15E-06
-3.65,-9.84E-11,-1.12E-06
-3.6,-8.99E-11,-1.07E-06
-3.55,-8.51E-11,-1.05E-06
-3.5,-7.77E-11,-1.02E-06
-3.45,-7.47E-11,-1.01E-06
-3.4,-7.16E-11,-9.64E-07
-3.35,-6.23E-11,-9.47E-07
-3.3,-6.44E-11,-9.18E-07
-3.25,-5.57E-11,-8.88E-07
-3.2,-5.35E-11,-8.66E-07
-3.15,-5.25E-11,-8.44E-07
-3.1,-4.38E-11,-8.14E-07
-3.05,-4.70E-11,-7.87E-07
-3,-3.77E-11,-7.67E-07
-2.95,-4.14E-11,-7.40E-07
-2.9,-3.23E-11,-7.12E-07
-2.85,-3.60E-11,-6.86E-07
-2.8,-2.72E-11,-6.57E-07
-2.75,-2.96E-11,-6.28E-07
-2.7,-2.23E-11,-6.03E-07
-2.65,-2.75E-11,-5.81E-07
-2.6,-2.00E-11,-5.53E-07
-2.55,-2.42E-11,-5.36E-07
-2.5,-1.66E-11,-5.07E-07
-2.45,-2.20E-11,-4.88E-07
-2.4,-1.48E-11,-4.61E-07
-2.35,-2.03E-11,-4.41E-07
-2.3,-1.28E-11,-4.10E-07
-2.25,-1.78E-11,-4.00E-07
-2.2,-1.08E-11,-3.74E-07
-2.15,-1.62E-11,-3.61E-07
-2.1,-9.33E-12,-3.41E-07
-2.05,-1.50E-11,-3.22E-07
-2,-8.27E-12,-3.06E-07
-1.95,-1.40E-11,-2.92E-07
-1.9,-7.33E-12,-2.74E-07
-1.85,-1.32E-11,-2.54E-07
-1.8,-6.51E-12,-2.40E-07
-1.75,-1.25E-11,-2.26E-07
-1.7,-5.94E-12,-2.13E-07
-1.65,-1.19E-11,-1.99E-07
-1.6,-5.39E-12,-1.83E-07
-1.55,-1.14E-11,-1.69E-07
-1.5,-4.94E-12,-1.56E-07
-1.45,-1.11E-11,-1.45E-07
-1.4,-4.60E-12,-1.32E-07
-1.35,-1.08E-11,-1.20E-07
-1.3,-4.41E-12,-1.09E-07
-1.25,-1.11E-11,-1.00E-07
-1.2,-3.97E-12,-9.03E-08
-1.15,-1.04E-11,-8.15E-08
-1.1,-3.78E-12,-7.33E-08
-1.05,-1.01E-11,-6.55E-08
-1,-3.81E-12,-5.87E-08
-0.95,-1.01E-11,-5.17E-08
-0.9,-3.81E-12,-4.57E-08
-0.85,-9.99E-12,-4.05E-08
-0.8,-3.71E-12,-3.59E-08
-0.75,-9.91E-12,-3.09E-08
-0.7,-3.62E-12,-2.70E-08
-0.65,-9.87E-12,-2.30E-08
-0.6,-3.59E-12,-1.97E-08
-0.55,-9.81E-12,-1.68E-08
-0.5,-3.51E-12,-1.44E-08
-0.45,-9.73E-12,-1.23E-08
-0.4,-3.45E-12,-1.03E-08
-0.35,-9.71E-12,-8.34E-09
-0.3,-3.44E-12,-6.73E-09
-0.25,-9.71E-12,-5.10E-09
-0.2,-3.39E-12,-3.63E-09
-0.15,-9.65E-12,-2.50E-09
-0.1,-3.35E-12,-1.60E-09
-0.05,-9.63E-12,-7.24E-10
0,-3.30E-12,7.91E-12
0.05,-9.59E-12,7.98E-10
0.1,-3.87E-12,1.74E-09
0.15,-9.36E-12,3.05E-09
0.2,-3.41E-12,4.31E-09
0.25,-9.26E-12,6.21E-09
0.3,-8.99E-12,8.41E-09
0.35,-3.19E-12,9.84E-09
0.4,-9.41E-12,1.32E-08
0.45,-9.20E-12,1.62E-08
0.5,-8.21E-12,1.95E-08
0.55,-3.17E-12,2.43E-08
0.6,-9.07E-12,3.06E-08
0.65,-8.55E-12,3.69E-08
0.7,-5.69E-12,4.29E-08
0.75,-4.49E-12,5.02E-08
0.8,-3.18E-12,5.83E-08
0.85,-5.93E-12,6.72E-08
0.9,-8.53E-12,7.65E-08
0.95,-5.74E-12,8.35E-08
1,6.89E-13,9.77E-08
1.05,-3.56E-12,1.07E-07
1.1,-4.71E-12,1.19E-07
1.15,-1.10E-12,1.32E-07
1.2,3.94E-12,1.48E-07
1.25,8.07E-12,1.66E-07
1.3,1.34E-11,1.83E-07
1.35,2.87E-11,2.03E-07
1.4,5.73E-11,2.24E-07
1.45,1.08E-10,2.47E-07
1.5,1.93E-10,2.67E-07
1.55,3.40E-10,2.93E-07
1.6,6.27E-10,3.20E-07
1.65,1.18E-09,3.50E-07
1.7,2.09E-09,3.80E-07
1.75,3.48E-09,4.17E-07
1.8,5.82E-09,4.55E-07
1.85,9.92E-09,5.05E-07
