-1.8,-2.00E-11,-7.16E-11,-0.00265357,-3.50E-12,,,,,,,,
-1.75,-1.23E-11,-6.41E-11,-0.00256185,3.53E-12,,,,,,,,
-1.7,-1.92E-11,-7.24E-11,-0.00247222,-3.48E-12,,,,,,,,
-1.65,-1.18E-11,-6.42E-11,-0.00238161,3.27E-12,,,,,,,,
-1.6,-1.86E-11,-7.19E-11,-0.00229341,-3.52E-12,,,,,,,,
-1.55,-1.14E-11,-6.48E-11,-0.00220398,3.51E-12,,,,,,,,
-1.5,-1.81E-11,-6.74E-11,-0.00211601,-3.48E-12,,,,,,,,
-1.45,-1.12E-11,-6.99E-11,-0.00203021,3.55E-12,,,,,,,,
-1.4,-1.77E-11,-6.32E-11,-0.00195001,-3.40E-12,,,,,,,,
-1.35,-1.09E-11,-7.12E-11,-0.00186989,3.98E-12,,,,,,,,
-1.3,-1.74E-11,-6.49E-11,-0.0017892,-3.32E-12,,,,,,,,
-1.25,-1.10E-11,-6.65E-11,-0.0017111,3.50E-12,,,,,,,,
-1.2,-1.78E-11,-6.99E-11,-0.00163031,-3.27E-12,,,,,,,,
-1.15,-1.01E-11,-6.26E-11,-0.00155257,3.37E-12,,,,,,,,
-1.1,-1.75E-11,-7.05E-11,-0.00147487,-3.60E-12,,,,,,,,
-1.05,-1.01E-11,-6.27E-11,-0.00139841,3.35E-12,,,,,,,,
-1,-1.73E-11,-7.01E-11,-0.00132035,-3.19E-12,,,,,,,,
-0.95,-1.00E-11,-6.24E-11,-0.00124597,3.38E-12,,,,,,,,
-0.9,-1.71E-11,-6.99E-11,-0.00117285,-3.22E-12,,,,,,,,
-0.85,-1.01E-11,-6.24E-11,-0.00109977,3.41E-12,,,,,,,,
-0.8,-1.68E-11,-6.95E-11,-0.0010296,-3.21E-12,,,,,,,,
-0.75,-1.01E-11,-6.19E-11,-0.000957976,3.45E-12,,,,,,,,
-0.7,-1.66E-11,-6.95E-11,-0.000888011,-3.22E-12,,,,,,,,
-0.65,-1.01E-11,-6.16E-11,-0.000820728,3.48E-12,,,,,,,,
-0.6,-1.64E-11,-6.92E-11,-0.000752443,-3.23E-12,,,,,,,,
-0.55,-1.01E-11,-6.13E-11,-0.000684811,3.52E-12,,,,,,,,
-0.5,-1.71E-11,-6.90E-11,-0.000618482,-3.26E-12,,,,,,,,
