-3.4,-5.90E-11,-1.33E-10,-6.46E-11,-7.97E-11,-2.35E-10,-1.06E-10,-1.30E-10,-8.09E-11,-8.97E-11,-8.88E-11
-3.35,-6.52E-11,-1.30E-10,-6.57E-11,-7.06E-11,-2.32E-10,-9.15E-11,-1.38E-10,-8.20E-11,-7.91E-11,-9.06E-11
-3.3,-5.55E-11,-1.28E-10,-5.87E-11,-7.22E-11,-2.34E-10,-9.54E-11,-1.29E-10,-7.55E-11,-8.35E-11,-8.30E-11
-3.25,-6.11E-11,-1.31E-10,-6.59E-11,-7.19E-11,-2.30E-10,-8.37E-11,-1.35E-10,-8.33E-11,-7.23E-11,-9.11E-11
-3.2,-5.22E-11,-1.22E-10,-5.80E-11,-6.38E-11,-2.32E-10,-8.35E-11,-1.31E-10,-7.69E-11,-7.19E-11,-8.26E-11
-3.15,-5.86E-11,-1.29E-10,-6.49E-11,-7.03E-11,-2.28E-10,-8.05E-11,-1.31E-10,-7.79E-11,-7.08E-11,-8.70E-11
-3.1,-5.07E-11,-1.19E-10,-5.78E-11,-6.18E-11,-2.31E-10,-7.12E-11,-1.35E-10,-8.17E-11,-6.08E-11,-8.29E-11
-3.05,-5.12E-11,-1.23E-10,-5.96E-11,-6.77E-11,-2.27E-10,-7.60E-11,-1.28E-10,-7.38E-11,-6.62E-11,-8.38E-11
-3,-5.37E-11,-1.20E-10,-6.21E-11,-5.88E-11,-2.28E-10,-6.68E-11,-1.36E-10,-8.23E-11,-5.60E-11,-8.75E-11
-2.95,-4.54E-11,-1.19E-10,-5.47E-11,-6.53E-11,-2.26E-10,-6.65E-11,-1.28E-10,-7.46E-11,-6.06E-11,-7.93E-11
-2.9,-5.28E-11,-1.23E-10,-6.24E-11,-5.75E-11,-2.27E-10,-6.67E-11,-1.33E-10,-7.82E-11,-5.12E-11,-8.76E-11
-2.85,-4.43E-11,-1.14E-10,-5.45E-11,-5.84E-11,-2.25E-10,-5.76E-11,-1.29E-10,-7.94E-11,-5.66E-11,-7.97E-11
-2.8,-5.05E-11,-1.23E-10,-6.11E-11,-6.13E-11,-2.27E-10,-6.34E-11,-1.29E-10,-7.30E-11,-4.74E-11,-8.27E-11
-2.75,-4.20E-11,-1.14E-10,-5.48E-11,-5.31E-11,-2.24E-10,-5.40E-11,-1.34E-10,-8.10E-11,-5.36E-11,-8.44E-11
-2.7,-4.87E-11,-1.17E-10,-5.56E-11,-6.08E-11,-2.26E-10,-6.00E-11,-1.26E-10,-7.44E-11,-4.45E-11,-7.71E-11
-2.65,-4.08E-11,-1.15E-10,-5.92E-11,-5.24E-11,-2.23E-10,-5.05E-11,-1.34E-10,-7.60E-11,-5.07E-11,-8.51E-11
-2.6,-4.78E-11,-1.14E-10,-5.13E-11,-5.89E-11,-2.26E-10,-5.67E-11,-1.26E-10,-7.95E-11,-4.19E-11,-7.66E-11
-2.55,-4.09E-11,-1.19E-10,-5.94E-11,-5.04E-11,-2.22E-10,-4.78E-11,-1.30E-10,-7.18E-11,-4.84E-11,-8.42E-11
-2.5,-4.20E-11,-1.11E-10,-5.16E-11,-5.74E-11,-2.25E-10,-5.41E-11,-1.27E-10,-8.02E-11,-4.18E-11,-7.70E-11
-2.45,-4.53E-11,-1.19E-10,-5.48E-11,-4.94E-11,-2.21E-10,-4.53E-11,-1.28E-10,-7.23E-11,-4.18E-11,-7.84E-11
