-5,9.39E-13,-2.66E-10,-3.03E-10
-4.95,-6.37E-12,-2.62E-10,-3.05E-10
-4.9,1.53E-12,-2.54E-10,-3.04E-10
-4.85,-5.16E-12,-2.53E-10,-2.96E-10
-4.8,1.90E-12,-2.46E-10,-3.00E-10
-4.75,-4.93E-12,-2.47E-10,-2.94E-10
-4.7,1.89E-12,-2.38E-10,-2.98E-10
-4.65,-4.24E-12,-2.37E-10,-2.92E-10
-4.6,2.87E-12,-2.32E-10,-2.97E-10
-4.55,-4.91E-12,-2.33E-10,-2.90E-10
-4.5,2.71E-12,-2.27E-10,-2.94E-10
-4.45,-4.54E-12,-2.26E-10,-2.89E-10
-4.4,2.46E-12,-2.21E-10,-2.93E-10
-4.35,-4.15E-12,-2.26E-10,-2.87E-10
-4.3,2.44E-12,-2.20E-10,-2.92E-10
-4.25,-3.96E-12,-2.19E-10,-2.86E-10
-4.2,2.39E-12,-2.14E-10,-2.91E-10
-4.15,-4.62E-12,-2.14E-10,-2.85E-10
-4.1,3.26E-12,-2.11E-10,-2.89E-10
-4.05,-4.37E-12,-2.11E-10,-2.85E-10
-4,3.08E-12,-2.08E-10,-2.88E-10
-3.95,-4.13E-12,-2.08E-10,-2.84E-10
-3.9,3.02E-12,-2.05E-10,-2.88E-10
-3.85,-3.90E-12,-2.06E-10,-2.83E-10
-3.8,2.89E-12,-2.01E-10,-2.87E-10
-3.75,-3.71E-12,-2.03E-10,-2.82E-10
-3.7,2.74E-12,-1.99E-10,-2.87E-10
-3.65,-3.51E-12,-1.99E-10,-2.81E-10
-3.6,3.54E-12,-1.97E-10,-2.85E-10
-3.55,-4.20E-12,-1.98E-10,-2.82E-10
-3.5,3.34E-12,-1.95E-10,-2.85E-10
-3.45,-3.99E-12,-1.96E-10,-2.81E-10
-3.4,4.14E-12,-1.94E-10,-2.85E-10
-3.35,-3.64E-12,-1.95E-10,-2.80E-10
-3.3,3.01E-12,-1.92E-10,-2.85E-10
-3.25,-3.48E-12,-1.93E-10,-2.80E-10
-3.2,2.88E-12,-1.92E-10,-2.84E-10
-3.15,-3.28E-12,-1.92E-10,-2.80E-10
-3.1,3.61E-12,-1.91E-10,-2.84E-10
-3.05,-3.94E-12,-1.91E-10,-2.80E-10
-3,3.41E-12,-1.89E-10,-2.84E-10
-2.95,-3.71E-12,-1.90E-10,-2.80E-10
-2.9,3.30E-12,-1.88E-10,-2.84E-10
-2.85,-3.57E-12,-1.90E-10,-2.79E-10
-2.8,3.14E-12,-1.88E-10,-2.84E-10
-2.75,-3.38E-12,-1.88E-10,-2.79E-10
-2.7,2.94E-12,-1.88E-10,-2.83E-10
-2.65,-3.18E-12,-1.86E-10,-2.79E-10
-2.6,3.75E-12,-1.87E-10,-2.83E-10
-2.55,-3.79E-12,-1.86E-10,-2.79E-10
-2.5,3.50E-12,-1.86E-10,-2.84E-10
-2.45,-3.61E-12,-1.87E-10,-2.79E-10
-2.4,3.38E-12,-1.86E-10,-2.84E-10
-2.35,-3.45E-12,-1.87E-10,-2.79E-10
-2.3,3.24E-12,-1.84E-10,-2.83E-10
-2.25,-3.26E-12,-1.86E-10,-2.79E-10
-2.2,3.07E-12,-1.85E-10,-2.83E-10
-2.15,-3.07E-12,-1.86E-10,-2.79E-10
-2.1,2.92E-12,-1.84E-10,-2.83E-10
-2.05,-3.79E-12,-1.85E-10,-2.78E-10
-2,3.61E-12,-1.83E-10,-2.83E-10
-1.95,-3.41E-12,-1.85E-10,-2.78E-10
-1.9,3.23E-12,-1.82E-10,-2.82E-10
-1.85,-3.10E-12,-1.84E-10,-2.78E-10
-1.8,3.07E-12,-1.81E-10,-2.82E-10
-1.75,-3.73E-12,-1.82E-10,-2.78E-10
-1.7,3.62E-12,-1.81E-10,-2.82E-10
-1.65,-3.48E-12,-1.82E-10,-2.77E-10
-1.6,3.47E-12,-1.80E-10,-2.81E-10
-1.55,-3.25E-12,-1.81E-10,-2.76E-10
-1.5,3.29E-12,-1.79E-10,-2.81E-10
-1.45,-3.06E-12,-1.81E-10,-2.75E-10
-1.4,3.92E-12,-1.78E-10,-2.79E-10
-1.35,-3.58E-12,-1.79E-10,-2.74E-10
-1.3,3.71E-12,-1.79E-10,-2.78E-10
-1.25,-3.40E-12,-1.79E-10,-2.73E-10
-1.2,3.57E-12,-1.78E-10,-2.77E-10
-1.15,-3.24E-12,-1.78E-10,-2.72E-10
-1.1,3.41E-12,-1.77E-10,-2.75E-10
-1.05,-3.02E-12,-1.78E-10,-2.71E-10
-1,3.23E-12,-1.76E-10,-2.74E-10
-0.95,-2.83E-12,-1.76E-10,-2.70E-10
-0.9,3.98E-12,-1.76E-10,-2.74E-10
-0.85,-3.60E-12,-1.76E-10,-2.69E-10
-0.8,3.89E-12,-1.76E-10,-2.73E-10
-0.75,-3.44E-12,-1.76E-10,-2.68E-10
-0.7,3.70E-12,-1.75E-10,-2.71E-10
-0.65,-3.25E-12,-1.75E-10,-2.68E-10
-0.6,3.55E-12,-1.74E-10,-2.70E-10
-0.55,-2.96E-12,-1.75E-10,-2.66E-10
-0.5,3.23E-12,-1.73E-10,-2.70E-10
-0.45,-2.73E-12,-1.73E-10,-2.65E-10
-0.4,4.00E-12,-1.73E-10,-2.69E-10
-0.35,-3.84E-12,-1.73E-10,-2.64E-10
-0.3,3.85E-12,-1.72E-10,-2.67E-10
-0.25,-3.33E-12,-1.73E-10,-2.63E-10
-0.2,2.89E-12,-1.71E-10,-2.66E-10
-0.15,-2.90E-12,-1.72E-10,-2.62E-10
