-1.6,-7.05E-12,-1.37E-11,-2.08E-12,-1.49E-06,,,,
-1.55,-1.49E-11,-2.25E-11,-9.88E-12,-1.43E-06,,,,
-1.5,-6.83E-12,-1.35E-11,-1.98E-12,-1.38E-06,,,,
-1.45,-1.47E-11,-2.22E-11,-9.71E-12,-1.33E-06,,,,
-1.4,-6.59E-12,-1.34E-11,-1.89E-12,-1.28E-06,,,,
-1.35,-1.45E-11,-2.21E-11,-9.58E-12,-1.22E-06,,,,
-1.3,-6.39E-12,-1.33E-11,-1.84E-12,-1.17E-06,,,,
-1.25,-1.43E-11,-2.20E-11,-9.57E-12,-1.12E-06,,,,
-1.2,-6.21E-12,-1.31E-11,-1.80E-12,-1.07E-06,,,,
-1.15,-1.41E-11,-2.19E-11,-9.51E-12,-1.02E-06,,,,
-1.1,-6.09E-12,-1.29E-11,-1.74E-12,-9.64E-07,,,,
-1.05,-1.41E-11,-2.18E-11,-9.57E-12,-9.08E-07,,,,
-1,-5.99E-12,-1.28E-11,-1.77E-12,-8.61E-07,,,,
-0.95,-1.41E-11,-2.18E-11,-9.46E-12,-8.09E-07,,,,
-0.9,-5.86E-12,-1.27E-11,-1.58E-12,-7.60E-07,,,,
-0.85,-1.40E-11,-2.17E-11,-9.48E-12,-7.14E-07,,,,
-0.8,-7.14E-12,-1.27E-11,-1.58E-12,-6.67E-07,,,,
-0.75,-1.35E-11,-2.17E-11,-9.47E-12,-6.20E-07,,,,
-0.7,-6.30E-12,-1.26E-11,-1.53E-12,-5.75E-07,,,,
-0.65,-1.34E-11,-2.17E-11,-9.53E-12,-5.31E-07,,,,
-0.6,-6.23E-12,-1.25E-11,-1.60E-12,-4.86E-07,,,,
-0.55,-1.34E-11,-2.17E-11,-9.41E-12,-4.44E-07,,,,
-0.5,-6.18E-12,-1.42E-11,-1.39E-12,-4.03E-07,,,,
-0.45,-1.34E-11,-1.71E-11,-9.46E-12,-3.59E-07,,,,
-0.4,-6.17E-12,-1.97E-11,-1.43E-12,-3.15E-07,,,,
-0.35,-1.33E-11,-1.28E-11,-9.43E-12,-2.74E-07,,,,
-0.3,-6.09E-12,-2.08E-11,-1.37E-12,-2.31E-07,,,,
-0.25,-1.32E-11,-1.31E-11,-9.47E-12,-1.90E-07,,,,
-0.2,-6.01E-12,-2.07E-11,-1.39E-12,-1.54E-07,,,,
-0.15,-1.32E-11,-1.30E-11,-9.54E-12,-1.15E-07,,,,
-0.1,-5.98E-12,-2.07E-11,-1.33E-12,-7.58E-08,,,,
-0.05,-1.32E-11,-1.29E-11,-9.34E-12,-3.79E-08,,,,
0,-5.70E-12,-2.08E-11,-1.11E-12,4.02E-10,,,,
0.05,-1.32E-11,-1.40E-11,-9.49E-12,3.83E-08,,,,
0.1,-5.80E-12,-2.03E-11,-1.06E-12,7.70E-08,,,,
0.15,-1.31E-11,-1.31E-11,-9.36E-12,1.18E-07,,,,
0.2,-5.76E-12,-2.02E-11,-1.09E-12,1.57E-07,,,,
0.25,-1.29E-11,-1.30E-11,-9.29E-12,1.99E-07,,,,
0.3,-1.34E-11,-2.02E-11,-9.20E-12,2.40E-07,,,,
0.35,-5.84E-12,-2.08E-11,-1.15E-12,2.81E-07,,,,
0.4,-1.28E-11,-1.29E-11,-9.19E-12,3.25E-07,,,,
0.45,-1.27E-11,-2.00E-11,-8.22E-12,3.70E-07,,,,
0.5,-5.20E-12,-2.00E-11,-9.40E-13,4.11E-07,,,,
0.55,-1.22E-11,-1.22E-11,-8.67E-12,4.57E-07,,,,
0.6,-1.28E-11,-1.93E-11,-8.42E-12,5.03E-07,,,,
0.65,-9.09E-12,-2.00E-11,-6.76E-12,5.47E-07,,,,
0.7,-6.67E-12,-1.85E-11,-4.64E-12,5.92E-07,,,,
0.75,-1.04E-11,-1.22E-11,-2.87E-12,6.40E-07,,,,
0.8,-1.30E-11,-1.34E-11,-6.81E-12,6.94E-07,,,,
0.85,-1.06E-11,-1.76E-11,-9.07E-12,7.40E-07,,,,
0.9,-6.74E-12,-1.99E-11,-6.20E-12,7.93E-07,,,,
0.95,-4.28E-12,-1.72E-11,-1.43E-12,8.51E-07,,,,
1,-6.66E-12,-1.30E-11,3.55E-13,9.01E-07,,,,
1.05,-1.05E-11,-1.08E-11,-2.29E-12,9.53E-07,,,,
1.1,-1.10E-11,-1.31E-11,-3.48E-12,1.01E-06,,,,
1.15,-6.05E-12,-1.66E-11,-1.88E-12,1.06E-06,,,,
1.2,9.00E-14,-1.52E-11,6.20E-12,1.12E-06,,,,
1.25,3.14E-12,-8.80E-12,1.69E-11,1.17E-06,,,,
1.3,4.80E-12,-7.28E-13,2.65E-11,1.23E-06,,,,
1.35,1.21E-11,4.12E-12,4.20E-11,1.28E-06,,,,
1.4,3.27E-11,1.28E-11,7.70E-11,1.34E-06,,,,
1.45,7.48E-11,3.24E-11,1.48E-10,1.40E-06,,,,
1.5,1.44E-10,7.73E-11,2.73E-10,1.46E-06,,,,
1.55,2.72E-10,1.64E-10,4.95E-10,1.52E-06,,,,
1.6,4.93E-10,3.14E-10,8.58E-10,1.57E-06,,,,
1.65,9.26E-10,5.53E-10,1.61E-09,1.62E-06,,,,
1.7,1.65E-09,1.05E-09,2.84E-09,1.69E-06,,,,
1.75,2.83E-09,1.96E-09,4.78E-09,1.76E-06,,,,
1.8,4.86E-09,3.61E-09,8.13E-09,1.82E-06,,,,
1.85,8.28E-09,6.53E-09,1.39E-08,1.89E-06,,,,
1.9,1.38E-08,1.19E-08,2.34E-08,1.96E-06,,,,
1.95,2.37E-08,2.14E-08,3.93E-08,2.02E-06,,,,
