-5,-4.83E-09,-0.0999967,-0.0999968,-0.00205976,-0.000217266,,
-4.95,-4.48E-09,-0.0999968,-0.0999967,-0.00201971,-0.000211047,,
-4.9,-4.09E-09,-0.0999971,-0.0999966,-0.00198637,-0.000205402,,
-4.85,-3.71E-09,-0.0999969,-0.099997,-0.00194896,-0.000200246,,
-4.8,-3.47E-09,-0.0999968,-0.099997,-0.00190818,-0.000195136,,
-4.75,-3.39E-09,-0.0999968,-0.0999971,-0.00186694,-0.000190326,,
-4.7,-3.14E-09,-0.0999968,-0.099997,-0.00183111,-0.000185659,,
-4.65,-2.98E-09,-0.099997,-0.0999969,-0.00179394,-0.000180901,,
-4.6,-2.76E-09,-0.099997,-0.0999972,-0.00175998,-0.000176232,,
-4.55,-2.50E-09,-0.0999969,-0.099997,-0.00172516,-0.000171852,,
-4.5,-2.40E-09,-0.0999969,-0.0999971,-0.00169372,-0.000167579,,
-4.45,-2.27E-09,-0.099997,-0.0999971,-0.00166026,-0.000163525,,
-4.4,-2.13E-09,-0.0999968,-0.0999971,-0.00162573,-0.000159336,,
-4.35,-1.96E-09,-0.0999968,-0.099997,-0.00159502,-0.000155184,,
-4.3,-1.77E-09,-0.0999969,-0.0999971,-0.00156326,-0.000151075,,
-4.25,-1.64E-09,-0.0999969,-0.0999971,-0.00153103,-0.000147236,,
-4.2,-1.59E-09,-0.0999969,-0.0999973,-0.00150006,-0.000143613,,
-4.15,-1.51E-09,-0.099997,-0.099997,-0.0014697,-0.000140033,,
-4.1,-1.39E-09,-0.0999968,-0.0999971,-0.00143826,-0.000135996,,
-4.05,-1.25E-09,-0.099997,-0.099997,-0.0014087,-0.000132618,,
-4,-1.13E-09,-0.0999969,-0.0999972,-0.00137799,-0.000129022,,
-3.95,-1.08E-09,-0.0999968,-0.099997,-0.00134573,-0.000125644,,
-3.9,-1.04E-09,-0.0999966,-0.099997,-0.00131575,-0.000122131,,
-3.85,-9.28E-10,-0.099997,-0.099997,-0.00128583,-0.000118658,,
-3.8,-8.58E-10,-0.0999969,-0.0989154,-0.00125642,-0.000115451,,
-3.75,-8.13E-10,-0.0999969,-0.0962502,-0.00122897,-0.000112403,,
-3.7,-7.30E-10,-0.0999969,-0.0931791,-0.00120017,-0.000109337,,
-3.65,-7.38E-10,-0.099997,-0.0904401,-0.00117284,-0.000106225,,
-3.6,-6.73E-10,-0.0999968,-0.0872325,-0.0011449,-0.000103274,,
-3.55,-6.24E-10,-0.0999967,-0.0839613,-0.00111738,-0.000100173,,
-3.5,-5.67E-10,-0.0999968,-0.0808254,-0.00109062,-9.75E-05,,
-3.45,-5.35E-10,-0.0999969,-0.0781146,-0.00106388,-9.43E-05,,
-3.4,-4.92E-10,-0.0999966,-0.0753948,-0.00103773,-9.17E-05,,
-3.35,-4.50E-10,-0.0999967,-0.0728426,-0.00101112,-8.92E-05,,
-3.3,-4.22E-10,-0.0999967,-0.0702829,-0.00098626,-8.63E-05,,
-3.25,-3.82E-10,-0.0999968,-0.0678829,-0.000959969,-8.36E-05,,
-3.2,-3.55E-10,-0.0999967,-0.0654338,-0.000934267,-8.11E-05,,
-3.15,-3.24E-10,-0.0999968,-0.0631027,-0.000909254,-7.87E-05,,
-3.1,-2.93E-10,-0.0999965,-0.0607946,-0.000884628,-7.63E-05,,
-3.05,-2.74E-10,-0.0999968,-0.0584024,-0.000859924,-7.39E-05,,
-3,-2.46E-10,-0.0999967,-0.0562859,-0.000834756,-7.16E-05,,
-2.95,-2.27E-10,-0.0999967,-0.0542291,-0.000811923,-6.94E-05,,
-2.9,-2.08E-10,-0.0999968,-0.0522231,-0.000787997,-6.72E-05,,
-2.85,-1.91E-10,-0.0999969,-0.0503024,-0.000764236,-6.50E-05,,
-2.8,-1.74E-10,-0.0999968,-0.0484054,-0.000741273,-6.29E-05,,
-2.75,-1.60E-10,-0.0999967,-0.0465685,-0.000717379,-6.09E-05,,
-2.7,-1.44E-10,-0.0999967,-0.0447993,-0.00069468,-5.88E-05,,
-2.65,-1.38E-10,-0.0999969,-0.0430577,-0.000672184,-5.68E-05,,
-2.6,-1.16E-10,-0.0999969,-0.0413702,-0.000649949,-5.49E-05,,
-2.55,-1.14E-10,-0.0999969,-0.0397492,-0.000628879,-5.29E-05,,
-2.5,-9.66E-11,-0.0999967,-0.0381568,-0.000607516,-5.11E-05,,
-2.45,-9.10E-11,-0.0999968,-0.036614,-0.000586139,-4.93E-05,,
-2.4,-8.37E-11,-0.0999969,-0.0351423,-0.000565086,-4.76E-05,,
-2.35,-6.99E-11,-0.0999967,-0.0336956,-0.000544163,-4.59E-05,,
-2.3,-7.11E-11,-0.0988956,-0.0322907,-0.000523353,-4.42E-05,,
-2.25,-5.75E-11,-0.0970519,-0.0309407,-0.000503591,-4.26E-05,,
-2.2,-5.39E-11,-0.095033,-0.029617,-0.000483329,-4.11E-05,,
-2.15,-5.11E-11,-0.093041,-0.0283257,-0.000464302,-3.95E-05,,
-2.1,-3.88E-11,-0.0912772,-0.0271038,-0.000445031,-3.80E-05,,
-2.05,-4.28E-11,-0.0892324,-0.0258932,-0.000426505,-3.65E-05,,
-2,-3.07E-11,-0.0871876,-0.0247172,-0.000407758,-3.50E-05,,
-1.95,-3.49E-11,-0.0851485,-0.023595,-0.000389634,-3.35E-05,,
-1.9,-2.39E-11,-0.0830622,-0.0224887,-0.000371166,-3.21E-05,,
-1.85,-2.86E-11,-0.0809967,-0.0214351,-0.000353858,-3.08E-05,,
-1.8,-1.82E-11,-0.0788874,-0.0203994,-0.000336818,-2.95E-05,,
-1.75,-2.37E-11,-0.0767664,-0.0193913,-0.000320025,-2.82E-05,,
